"TIME","FACTOR 1","FACTOR 2","Y","PDC RSG","PDCxT RSG","YBAR(k,t)","YBAR(.t)","YBAR(k.)","YBAR","R1","R2","R3","R4","R5","RCR1","RCR2","RCR3","RCR4","RCR5","PDC ID","PDC MAIN EFFECTS","PT ID","PT MAIN EFFECTS","PDCxPT ID","PDCxPT INTERACTION EFFECTS","F1 ID","F1 MAIN EFFECT","F2 ID","F2 MAIN EFFECT","F1xF2 ID","F1xF2 INTERACTION EFFECT","F1 MAIN EFFECTS","F2 MAIN EFFECTS","F1xF2 INTERACTION EFFECTS","TAGUCHI COMPONENT","TAGUCHI LOSS","PERCENT CONTRIBUTION TO LOSS","LOSS FUNCTION LABELS","TAGUCHI-COMPONENT","TAGUCHI-LOSS","PERCENT-CONTRIBUTION TO LOSS","LOSS-FUNCTION LABELS","VAS MU ESTIMATE","GLM MU ESTIMATE PDCxT","GLM MU ESTIMATE F1-F2","VAS PDC,PT AND PDCxPT ESTIMATES","GLM PDC,PT AND PDCxPT ESTIMATES","VAS F1,F2 AND F1xF2 ESTIMATES","GLM F1,F2 AND F1xF2 ESTIMATES"
19,1,1,238.38999938964844,11,11019,238.43000030517578,237.78437519073486,238.10812338574004,237.78237031228343,0.6076290773650044,-0.04000091552734375,0.2798711254569639,-0.03799603707591359,0.28575215792926656,238.38999938964844,237.7423693967561,238.0622414377404,237.74437427520752,238.0681224702127,8,,37,-0.14299557931224172,11037,0.9548703625175108,,,,,,,0.5665642627865848,-0.4216783543382689,0.06086441842626367,,,,,,,,,,,,0.02075506918629344,0.020755069186327923,,
19,1,1,238.47000122070312,11,11019,238.43000030517578,237.78437519073486,238.10812338574004,237.78237031228343,0.6876309084196919,0.04000091552734375,0.3598729565116514,0.04200579397877391,0.36575398898395406,238.47000122070312,237.82237122781078,238.14224326879508,237.8243761062622,238.1481243012674,8,,38,0.13200594656666453,11038,0.7848721935721983,,,,,,,0.6465660938412723,-0.3416765232835814,0.14086624948095117,,,,,,,,,,,,-0.17799447305003469,-0.17799447305000068,,
20,1,1,238.5800018310547,11,11020,238.43499755859375,237.97466930539287,238.10812338574004,237.78237031228343,0.7976315187712544,0.1450042724609375,0.27957945220521196,0.3373032655703696,0.4707573459175478,238.5800018310547,237.92737458474437,238.06194976448865,238.1196735778538,238.25312765820098,8,,39,0.3838799165984028,11039,1.0729991390678038,,,,,,,0.751569450774866,-0.23667316634998764,0.24586960641454492,,,,,,,,,,,,-0.11799500710765187,-0.11799500710761719,,
20,1,1,238.2899932861328,11,11020,238.43499755859375,237.97466930539287,238.10812338574004,237.78237031228343,0.5076229738493794,-0.1450042724609375,-0.010429092716663035,0.047294720648494604,0.1807488009956728,238.2899932861328,237.6373660398225,237.77194121956677,237.82966503293193,237.9631191132791,8,,40,-0.18236993081370656,11040,0.7292453243705381,,,,,,,0.4615609058529911,-0.5266817112718627,-0.04413893850733008,,,,,,,,,,,,0.08575274222096141,0.08575274222099594,,
21,1,1,238.52999877929687,11,11021,237.3000030517578,237.85500049591064,238.10812338574004,237.78237031228343,0.7476284670134419,1.2299957275390625,0.34924520992962016,1.302625911166274,1.5557488009956728,238.52999877929687,239.0123660398225,238.13161552221305,239.0849962234497,239.3381191132791,8,,41,-0.09424565560618703,11041,0.8711244060966124,,,,,,,1.836560905852991,0.8483182887281373,1.33086106149267,,,,,,,,,,,,-0.036745770047105,-0.03674577004707079,,
21,1,1,236.07000732421875,11,11021,237.3000030517578,237.85500049591064,238.10812338574004,237.78237031228343,-1.7123629880646831,-1.2299957275390625,-2.110746245148505,-1.157365543911851,-0.9042426540824522,236.07000732421875,236.55237458474437,235.67162406713493,236.62500476837158,236.87812765820098,8,,42,-0.03957356548432145,11042,1.1814501797442745,,,,,,,-0.623430549225134,-1.6116731663499877,-1.129130393585455,,,,,,,,,,,,-0.1442448926667339,-0.14424489266669926,,
22,1,1,234.74000549316406,11,11022,236.42000579833984,237.86187553405762,238.10812338574004,237.78237031228343,-3.0423648191193706,-1.6800003051757812,-3.447623114350165,-1.6004950834015972,-1.354247231719171,234.74000549316406,236.10237000710765,234.33474719793327,236.18187522888184,236.42812308056426,8,,43,0.06700731985768016,11043,-0.09013162112506734,,,,,,,-1.0734351268618527,-2.0616777439867064,-1.5791349712221738,,,,,,,,,,,,-0.11567446729228514,-0.11567446729227167,,
22,1,1,238.10000610351562,11,11022,236.42000579833984,237.86187553405762,238.10812338574004,237.78237031228343,0.3176357912321919,1.6800003051757812,-0.0876225039986025,1.7595055269499653,2.0057533786323916,238.10000610351562,239.46237061745921,237.69474780828483,239.5418758392334,239.78812369091582,8,,44,0.1338789629240864,11044,-1.7119959399727236,,,,,,,2.28656548348971,1.298322866364856,1.7808656391293887,,,,,,,,,,,,-0.037995083401597185,-0.037995083401562685,,
23,1,1,238,11,11023,238.25499725341797,237.78375053405762,238.10812338574004,237.78237031228343,0.21762968771656688,-0.25499725341796875,-0.1095036075142275,-0.2536170316437847,0.07075582003864156,238,237.52737305886546,237.6728667047692,237.52875328063965,237.85312613232207,8,,45,-0.09549592263499562,11045,0.34736551785198344,,,,,,,0.35156792489595984,-0.636674692228894,-0.15413191946436133,,,,,,,,,,,,-0.14299557931224172,-0.14299557931220808,,
23,1,1,238.50999450683594,11,11023,238.25499725341797,237.78375053405762,238.10812338574004,237.78237031228343,0.7276241945525044,0.25499725341796875,0.40049089932171,0.2563774751921528,0.5807503268745791,238.50999450683594,238.0373675657014,238.18286121160514,238.0387477874756,238.363120639158,8,,46,0.011379496981703596,11046,-0.14450440860065328,,,,,,,0.8615624317318973,-0.1266801853929564,0.35586258737157617,,,,,,,,,,,,0.13200594656666453,0.13200594656669906,,
24,1,1,238.47000122070312,11,11024,238.59000396728516,237.52624988555908,238.10812338574004,237.78237031228343,0.6876309084196919,-0.12000274658203125,0.6179982616874327,-0.37612317330638234,0.20575032687457906,238.47000122070312,237.6623675657014,238.40036857397087,237.40624713897705,237.988120639158,8,,47,-0.4554946256379253,11047,0.7373706295463194,,,,,,,0.48656243173189734,-0.5016801853929565,-0.019137412628423833,,,,,,,,,,,,0.3838799165984028,0.3838799165984378,,
