"TIME","FACTOR 1","FACTOR 2","Y","PDC RSG","PDCxT RSG","YBAR(k,t)","YBAR(.t)","YBAR(k.)","YBAR","R1","R2","R3","R4","R5","RCR1","RCR2","RCR3","RCR4","RCR5","PDC ID","PDC MAIN EFFECTS","PT ID","PT MAIN EFFECTS","PDCxPT ID","PDCxPT INTERACTION EFFECTS","F1 ID","F1 MAIN EFFECT","F2 ID","F2 MAIN EFFECT","F1xF2 ID","F1xF2 INTERACTION EFFECT","F1 MAIN EFFECTS","F2 MAIN EFFECTS","F1xF2 INTERACTION EFFECTS","TAGUCHI COMPONENT","TAGUCHI LOSS","PERCENT CONTRIBUTION TO LOSS","LOSS FUNCTION LABELS","TAGUCHI-COMPONENT","TAGUCHI-LOSS","PERCENT-CONTRIBUTION TO LOSS","LOSS-FUNCTION LABELS","VAS MU ESTIMATE","GLM MU ESTIMATE PDCxT","GLM MU ESTIMATE F1-F2","VAS PDC AND PT ESTIMATES","GLM PDC AND PT ESTIMATES","VAS F1,F2 AND F1xF2 ESTIMATES","GLM F1,F2 AND F1xF2 ESTIMATES"
41,1,1,238.52999877929687,11,11041,238.52999877929687,238.13125038146973,238.10812338574004,237.78237031228343,0.7476284670134419,0,0.07299532437053813,0.42187539355683157,0.39874839782714844,238.52999877929687,237.78237031228343,237.85536563665397,238.20424570584026,238.18111871011058,,,41,0.34888006918630765,11041,0.07299532437053813,,,,,,,0.679560502684464,-0.30868211444037646,0.17386065832411224,,,,,,,,,,,,0.4213783907195108,0.4213783907195329,,
42,1,1,236.07000732421875,11,11042,236.07000732421875,237.57875061035156,238.10812338574004,237.78237031228343,-1.7123629880646831,0,-1.8344963595894228,-2.0381160615212934,-1.5087432861328125,236.07000732421875,237.78237031228343,235.947873952694,235.74425425076214,236.27362702615062,,,42,-0.2036197019318564,11042,-1.8344963595894228,,,,,,,-1.227931181275497,-2.2161737984003373,-1.733631025635849,,,,,,,,,,,,0.3238785433074014,0.3238785433074223,,
43,1,1,234.74000549316406,11,11043,234.74000549316406,238.16875076293945,238.10812338574004,237.78237031228343,-3.0423648191193706,0,-3.754498343232001,-3.368117892575981,-3.4287452697753906,234.74000549316406,237.78237031228343,234.02787196905143,234.41425241970745,234.35362504250804,,,43,0.3863804506560342,11043,-3.754498343232001,,,,,,,-3.147933164918075,-4.1361757820429155,-3.653633009278427,,,,,,,,,,,,-0.04987214333810641,-0.04987214333808607,,
44,1,1,238.10000610351562,11,11044,238.10000610351562,237.55500030517578,238.10812338574004,237.78237031228343,0.3176357912321919,0,0.21925272488323344,-0.008117282224418432,0.5450057983398438,238.10000610351562,237.78237031228343,238.00162303716667,237.77425303005901,238.32737611062328,,,44,-0.22737000710763766,11044,0.21925272488323344,,,,,,,0.8258179031971593,-0.16242471392768115,0.32011805883680755,,,,,,,,,,,,0.00012900107107327585,0.00012900107109240996,,
45,1,1,238,11,11045,238,237.87750244140625,238.10812338574004,237.78237031228343,0.21762968771656688,0,-0.2032555148628603,-0.10812338574004343,0.12249755859375,238,237.78237031228343,237.57911479742057,237.6742469265434,237.90486787087718,,,45,0.09513212912283109,11045,-0.2032555148628603,,,,,,,0.4033096634510655,-0.5849329536737749,-0.1023901809092862,,,,,,,,,,,,0.006379382540799838,0.006379382540820695,,
46,1,1,238.50999450683594,11,11046,238.50999450683594,237.68999862670898,238.10812338574004,237.78237031228343,0.7276241945525044,0,0.4942428066703428,0.40187112109589407,0.8199958801269531,238.50999450683594,237.78237031228343,238.27661311895378,238.18424143337933,238.6023661924104,,,46,-0.09237168557443454,11046,0.4942428066703428,,,,,,,1.1008079849842687,0.11256536785942822,0.5951081406239169,,,,,,,,,,,,-0.002369625637911099,-0.0023696256378907695,,
47,1,1,238.47000122070312,11,11047,238.47000122070312,237.30124855041504,238.10812338574004,237.78237031228343,0.6876309084196919,0,0.8429995968314756,0.36187783496308157,1.168752670288086,238.47000122070312,237.78237031228343,238.6253699091149,238.14424814724651,238.95112298257152,,,47,-0.48112176186837985,11047,0.8429995968314756,,,,,,,1.4495647751454015,0.4613221580205611,0.9438649307850497,,,,,,,,,,,,-0.08112214333810641,-0.0811221433380871,,
48,1,1,238.7100067138672,11,11048,238.7100067138672,237.75125122070312,238.10812338574004,237.78237031228343,0.9276364015837544,0,0.6330024197074522,0.6018833281271441,0.9587554931640625,238.7100067138672,237.78237031228343,238.41537273199089,238.38425364041058,238.7411258054475,,,48,-0.03111909158029391,11048,0.6330024197074522,,,,,,,1.239567598021378,0.25132498089653765,0.7338677536610263,,,,,,,,,,,,0.4657201295569635,0.46572012955698533,,
49,1,1,237.6199951171875,11,11049,237.6199951171875,237.63250160217285,238.10812338574004,237.78237031228343,-0.16237519509593312,0,-0.33825955844196187,-0.48812826855254343,-0.012506484985351563,237.6199951171875,237.78237031228343,237.44411075384147,237.2942420437309,237.76986382729808,,,49,-0.14986871011056735,11049,-0.33825955844196187,,,,,,,0.26830561987196394,-0.7199369972528764,-0.23739422448838776,,,,,,,,,,,,0.34888006918630765,0.34888006918632947,,
50,1,1,238.3000030517578,11,11050,238.3000030517578,237.75500106811523,238.10812338574004,237.78237031228343,0.5176327394743794,0,0.21924891018596782,0.19187966601776907,0.5450019836425781,238.3000030517578,237.78237031228343,238.0016192224694,237.9742499783012,238.327372295926,,,50,-0.027369244168184537,11050,0.21924891018596782,,,,,,,0.8258140884998937,-0.16242852862494678,0.3201142441395419,,,,,,,,,,,,-0.2036197019318564,-0.20361970193183537,,
